sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,0.023193359,0.505798080,1,False,0.704811100,0.704811100
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,0.026000977,0.506499878,1,False,0.706232173,0.706232173
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-0.064453125,0.483892295,0,True,0.661439804,0.661439804
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-0.240905762,0.440063152,0,True,0.579931273,0.579931273
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.117248535,0.470721400,0,True,0.636240332,0.636240332
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,0.044372559,0.511091320,1,True,0.671206997,0.671206997
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,0.056030273,0.514003905,1,True,0.665524416,0.665524416
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,0.033203125,0.508300019,1,True,0.676683418,0.676683418
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,0.203063965,0.550592263,1,True,0.596760738,0.596760738
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,0.191711426,0.547781602,1,True,0.601878608,0.601878608
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,0.095825195,0.523937984,1,True,0.646381953,0.646381953
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,0.158874512,0.539635293,1,True,0.616861751,0.616861751
31,it1_S057,ro_19000,1,standalone,19000,config_132/vfpga_c132_0.bin,0.231689453,0.557664641,1,True,0.583997500,0.583997500
32,it1_S069,ro_14000,1,standalone,14000,config_144/vfpga_c144_0.bin,0.073364258,0.518332842,1,True,0.657137690,0.657137690
33,it1_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,0.250305176,0.562251614,1,True,0.575805818,0.575805818
34,it2_S013,ro_21000,1,standalone,21000,config_088/vfpga_c088_0.bin,0.281005859,0.569792806,1,True,0.562482482,0.562482482
35,it2_S015,ro_8000,1,standalone,8000,config_090/vfpga_c090_0.bin,0.097534180,0.524364233,1,True,0.645568734,0.645568734
36,it2_S020,ro_13000,1,standalone,13000,config_095/vfpga_c095_0.bin,0.313049316,0.577629390,1,True,0.548822810,0.548822810
37,it2_S030,ro_8000,1,standalone,8000,config_105/vfpga_c105_0.bin,0.133422852,0.533306319,1,True,0.628659313,0.628659313
38,it2_S036,ro_14000,1,standalone,14000,config_111/vfpga_c111_0.bin,0.173522949,0.543272214,1,True,0.610144770,0.610144770
39,it2_S042,ro_20000,1,standalone,20000,config_117/vfpga_c117_0.bin,0.217895508,0.554259367,1,True,0.590122530,0.590122530
40,it2_S045,ro_8000,1,standalone,8000,config_120/vfpga_c120_0.bin,0.085632324,0.521395009,1,True,0.651247350,0.651247350
41,it2_S047,ro_10000,1,standalone,10000,config_122/vfpga_c122_0.bin,0.023742676,0.505935390,1,True,0.681346305,0.681346305
42,it2_S049,ro_12000,1,standalone,12000,config_124/vfpga_c124_0.bin,0.007629395,0.501907339,1,True,0.689339759,0.689339759
43,it2_S050,ro_13000,1,standalone,13000,config_125/vfpga_c125_0.bin,0.123962402,0.530950976,1,True,0.633085585,0.633085585
44,it2_S051,ro_14000,1,standalone,14000,config_126/vfpga_c126_0.bin,0.136535645,0.534080983,1,True,0.627207798,0.627207798
45,it2_S064,ro_12000,1,standalone,12000,config_139/vfpga_c139_0.bin,0.017211914,0.504302872,1,True,0.684578254,0.684578254
46,it2_S068,ro_16000,1,standalone,16000,config_143/vfpga_c143_0.bin,0.173156738,0.543181345,1,True,0.610312045,0.610312045
47,it2_S071,ro_19000,1,standalone,19000,config_146/vfpga_c146_0.bin,0.222595215,0.555420160,1,True,0.588030407,0.588030407
