phase,sample_index,repetition,latency_us,lane_00_raw,lane_01_raw,lane_02_raw,lane_03_raw,lane_04_raw,lane_05_raw,lane_06_raw,lane_07_raw,lane_08_raw,lane_09_raw,lane_10_raw,lane_11_raw,lane_12_raw,lane_13_raw,lane_14_raw,lane_15_raw,lane_16_raw,lane_17_raw,lane_18_raw,lane_19_raw,lane_20_raw,lane_21_raw,lane_22_raw,lane_23_raw,lane_24_raw,lane_25_raw,lane_26_raw,lane_27_raw,lane_28_raw,lane_29_raw,lane_30_raw,lane_31_raw,lane_32_raw,lane_33_raw,lane_34_raw,lane_35_raw,lane_36_raw,lane_37_raw,lane_38_raw,lane_39_raw,lane_40_raw,lane_41_raw,lane_42_raw,lane_43_raw,lane_44_raw,lane_45_raw,lane_46_raw,lane_47_raw,lane_48_raw,lane_49_raw,lane_50_raw,lane_51_raw,lane_52_raw,lane_53_raw,lane_54_raw,lane_55_raw,lane_56_raw,lane_57_raw,lane_58_raw,lane_59_raw,lane_60_raw,lane_61_raw,lane_62_raw,lane_63_raw
sample,6,3,3176.887,21042,22,2048,1,2047,2047,0,0,0,17470,3454,0,1024,8610,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610,8610
sample,7,1,3262.559,21042,23,2048,1,2047,2047,0,0,0,20821,33814,0,1024,7477,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477
sample,7,2,3219.237,21042,24,2048,1,2047,2047,0,0,0,20821,33814,0,1024,7477,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477
sample,7,3,3224.898,21042,25,2048,1,2047,2047,0,0,0,20821,33814,0,1024,7477,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477,7477
sample,8,1,3209.319,21042,26,2048,1,2047,2047,0,0,0,59751,28730,0,1024,3785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785
sample,8,2,3234.016,21042,27,2048,1,2047,2047,0,0,0,59751,28730,0,1024,3785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785
sample,8,3,3195.743,21042,28,2048,1,2047,2047,0,0,0,59751,28730,0,1024,3785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785
sample,9,1,3227.373,21042,29,2048,1,2047,2047,0,0,0,28418,23750,0,1024,6562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562
sample,9,2,3256.638,21042,30,2048,1,2047,2047,0,0,0,28418,23750,0,1024,6562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562
sample,9,3,3246.379,21042,31,2048,1,2047,2047,0,0,0,28418,23750,0,1024,6562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562
sample,10,1,3235.538,21042,32,2048,1,2047,2047,0,0,0,6615,195,0,971,10413,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413
sample,10,2,3246.569,21042,33,2048,1,2047,2047,0,0,0,6615,195,0,971,10413,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413
sample,10,3,3195.242,21042,34,2048,1,2047,2047,0,0,0,6615,195,0,971,10413,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413,10413
sample,11,1,3192.326,21042,35,2048,1,2047,2047,0,0,0,13129,46848,0,1024,5618,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618
sample,11,2,3203.788,21042,36,2048,1,2047,2047,0,0,0,13129,46848,0,1024,5618,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618
sample,11,3,3245.648,21042,37,2048,1,2047,2047,0,0,0,13129,46848,0,1024,5618,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618,5618
sample,12,1,3239.355,21042,38,2048,1,2047,2047,0,0,0,20425,6345,0,895,5760,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760
sample,12,2,3203.648,21042,39,2048,1,2047,2047,0,0,0,20425,6345,0,895,5760,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760
sample,12,3,3198.968,21042,40,2048,1,2047,2047,0,0,0,20425,6345,0,895,5760,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760,5760
sample,13,1,3200.762,21042,41,2048,1,2047,2047,0,0,0,57511,34895,0,1024,7638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638
sample,13,2,3198.898,21042,42,2048,1,2047,2047,0,0,0,57511,34895,0,1024,7638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638
sample,13,3,3193.96,21042,43,2048,1,2047,2047,0,0,0,57511,34895,0,1024,7638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638,7638
sample,14,1,3235.538,21042,44,2048,1,2047,2047,0,0,0,27042,17153,0,1024,4843,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843
sample,14,2,3254.373,21042,45,2048,1,2047,2047,0,0,0,27042,17153,0,1024,4843,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843
sample,14,3,3228.004,21042,46,2048,1,2047,2047,0,0,0,27042,17153,0,1024,4843,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843,4843
sample,15,1,3195.753,21042,47,2048,1,2047,2047,0,0,0,46870,55366,0,1024,6540,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540
sample,15,2,3268.3,21042,48,2048,1,2047,2047,0,0,0,46870,55366,0,1024,6540,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540
sample,15,3,3216.722,21042,49,2048,1,2047,2047,0,0,0,46870,55366,0,1024,6540,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540,6540
sample,16,1,3234.507,21042,50,2048,1,2047,2047,0,0,0,20383,20031,0,1024,11840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840
sample,16,2,3358.972,21042,51,2048,1,2047,2047,0,0,0,20383,20031,0,1024,11840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840
sample,16,3,3194.24,21042,52,2048,1,2047,2047,0,0,0,20383,20031,0,1024,11840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840,11840
sample,17,1,3208.297,21042,53,2048,1,2047,2047,0,0,0,49738,49538,0,1024,4724,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724
sample,17,2,3200.773,21042,54,2048,1,2047,2047,0,0,0,49738,49538,0,1024,4724,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724
sample,17,3,3197.456,21042,55,2048,1,2047,2047,0,0,0,49738,49538,0,1024,4724,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724,4724
sample,18,1,3239.997,21042,56,2048,1,2047,2047,0,0,0,7397,34834,0,1024,6462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462
sample,18,2,3225.409,21042,57,2048,1,2047,2047,0,0,0,7397,34834,0,1024,6462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462
sample,18,3,3198.878,21042,58,2048,1,2047,2047,0,0,0,7397,34834,0,1024,6462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462,6462
sample,19,1,3264.212,21042,59,2048,1,2047,2047,0,0,0,2450,15095,0,1024,8652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652
sample,19,2,3214.308,21042,60,2048,1,2047,2047,0,0,0,2450,15095,0,1024,8652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652
sample,19,3,3232.492,21042,61,2048,1,2047,2047,0,0,0,2450,15095,0,1024,8652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652,8652
sample,20,1,3250.126,21042,62,2048,1,2047,2047,0,0,0,52470,63045,0,895,7620,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620
sample,20,2,3255.185,21042,63,2048,1,2047,2047,0,0,0,52470,63045,0,895,7620,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620
sample,20,3,3188.499,21042,64,2048,1,2047,2047,0,0,0,52470,63045,0,895,7620,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620,7620
sample,21,1,3193.529,21042,65,2048,1,2047,2047,0,0,0,30364,16260,0,1024,6831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831
sample,21,2,3237.762,21042,66,2048,1,2047,2047,0,0,0,30364,16260,0,1024,6831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831
sample,21,3,3224.407,21042,67,2048,1,2047,2047,0,0,0,30364,16260,0,1024,6831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831,6831
sample,22,1,3197.546,21042,68,2048,1,2047,2047,0,0,0,42916,7361,0,1024,6912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912
sample,22,2,3235.037,21042,69,2048,1,2047,2047,0,0,0,42916,7361,0,1024,6912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912
sample,22,3,3236.65,21042,70,2048,1,2047,2047,0,0,0,42916,7361,0,1024,6912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912,6912
