input_size,sweep_label,strategy_label,sweep_reuse_factor,layer,layer_index,actual_strategy,reuse_factor,config_name,module_name,latency_cycles_min,latency_cycles_max,interval_cycles_min,interval_cycles_max,latency_ms_min,latency_ms_max,interval_ms_min,interval_ms_max,bram_18k,dsp,ff,lut,lut_percent_xcu55c,uram,report_path,sweep_root
256,Resource RF1,Resource,1,conv3,3,Resource,1,config18,conv_2d_cl_array_array_ap_fixed_25_13_5_3_0_24u_config18_s,2594,2594,2592,2592,0.010376,0.010376,0.010368,0.010368,0,321,23929,86612,6.643654884634266,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource1_hls_db0d83b80b6e/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource1_RFResource1_fold0_hls_db0d83b8_prj/solution1/syn/report/conv_2d_cl_array_array_ap_fixed_25_13_5_3_0_24u_config18_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource1_hls_db0d83b80b6e
256,Resource RF1,Resource,1,conv4,4,Resource,1,config23,conv_2d_cl_array_array_ap_fixed_25_14_5_3_0_32u_config23_s,803,803,800,800,0.003212,0.003212,0.0032,0.0032,0,374,28950,109977,8.435889175257731,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource1_hls_db0d83b80b6e/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource1_RFResource1_fold0_hls_db0d83b8_prj/solution1/syn/report/conv_2d_cl_array_array_ap_fixed_25_14_5_3_0_32u_config23_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource1_hls_db0d83b80b6e
256,Resource RF1,Resource,1,conv5,5,Resource,1,config28,conv_2d_cl_array_array_ap_fixed_26_16_5_3_0_32u_config28_s,255,255,252,252,0.00102,0.00102,0.001008,0.001008,0,440,36304,146233,11.216939739813451,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource1_hls_db0d83b80b6e/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource1_RFResource1_fold0_hls_db0d83b8_prj/solution1/syn/report/conv_2d_cl_array_array_ap_fixed_26_16_5_3_0_32u_config28_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource1_hls_db0d83b80b6e
256,Resource RF1,Resource,1,conv6,6,Resource,1,config33,conv_2d_cl_array_array_ap_fixed_26_16_5_3_0_32u_config33_s,115,115,112,112,0.00046,0.00046,0.000448,0.000448,0,401,35630,145217,11.13900650466372,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource1_hls_db0d83b80b6e/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource1_RFResource1_fold0_hls_db0d83b8_prj/solution1/syn/report/conv_2d_cl_array_array_ap_fixed_26_16_5_3_0_32u_config33_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource1_hls_db0d83b80b6e
256,Resource RF2,Resource,2,conv0,0,Resource,2,config3,conv_2d_cl_array_ap_fixed_1u_array_ap_fixed_30_13_5_3_0_8u_config3_s,405603,405603,405600,405600,1.622412,1.622412,1.6224,1.6224,0,53,3532,3849,0.29524116347569956,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource2_hls_d4f551930017/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource2_RFResource2_fold0_hls_d4f55193_prj/solution1/syn/report/conv_2d_cl_array_ap_fixed_1u_array_ap_fixed_30_13_5_3_0_8u_config3_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource2_hls_d4f551930017
256,Resource RF2,Resource,2,conv1,1,Resource,2,config8,conv_2d_cl_array_ap_ufixed_8u_array_ap_fixed_24_11_5_3_0_16u_config8_s,17425,47917,17425,47917,0.0697,0.191668,0.0697,0.191668,8,320,16258,21788,1.6712690230731468,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource2_hls_d4f551930017/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource2_RFResource2_fold0_hls_d4f55193_prj/solution1/syn/report/conv_2d_cl_array_ap_ufixed_8u_array_ap_fixed_24_11_5_3_0_16u_config8_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource2_hls_d4f551930017
256,Resource RF2,Resource,2,conv2,2,Resource,2,config13,conv_2d_cl_array_array_ap_fixed_25_12_5_3_0_24u_config13_s,4625,12717,4625,12717,0.0185,0.050868,0.0185,0.050868,8,960,43591,59526,4.565997790868925,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource2_hls_d4f551930017/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource2_RFResource2_fold0_hls_d4f55193_prj/solution1/syn/report/conv_2d_cl_array_array_ap_fixed_25_12_5_3_0_24u_config13_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource2_hls_d4f551930017
256,Resource RF2,Resource,2,conv3,3,Resource,2,config18,conv_2d_cl_array_array_ap_fixed_25_13_5_3_0_24u_config18_s,1297,3565,1297,3565,0.005188,0.01426,0.005188,0.01426,8,1536,61322,81545,6.25498588610702,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource2_hls_d4f551930017/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource2_RFResource2_fold0_hls_d4f55193_prj/solution1/syn/report/conv_2d_cl_array_array_ap_fixed_25_13_5_3_0_24u_config18_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource2_hls_d4f551930017
256,Resource RF2,Resource,2,conv4,4,Resource,2,config23,conv_2d_cl_array_array_ap_fixed_25_14_5_3_0_32u_config23_s,401,1101,401,1101,0.001604,0.004404,0.001604,0.004404,8,2048,78203,105374,8.082811732940598,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource2_hls_d4f551930017/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource2_RFResource2_fold0_hls_d4f55193_prj/solution1/syn/report/conv_2d_cl_array_array_ap_fixed_25_14_5_3_0_32u_config23_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource2_hls_d4f551930017
256,Resource RF2,Resource,2,conv5,5,Resource,2,config28,conv_2d_cl_array_array_ap_fixed_26_16_5_3_0_32u_config28_s,145,397,145,397,0.00058,0.001588,0.00058,0.001588,8,2560,110298,151716,11.637518409425626,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource2_hls_d4f551930017/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource2_RFResource2_fold0_hls_d4f55193_prj/solution1/syn/report/conv_2d_cl_array_array_ap_fixed_26_16_5_3_0_32u_config28_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource2_hls_d4f551930017
256,Resource RF2,Resource,2,conv6,6,Resource,2,config33,conv_2d_cl_array_array_ap_fixed_26_16_5_3_0_32u_config33_s,65,177,65,177,0.00026,0.000708,0.00026,0.000708,8,2556,110494,151707,11.636828055964655,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource2_hls_d4f551930017/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource2_RFResource2_fold0_hls_d4f55193_prj/solution1/syn/report/conv_2d_cl_array_array_ap_fixed_26_16_5_3_0_32u_config33_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource2_hls_d4f551930017
256,Resource RF4,Resource,4,conv0,0,Resource,4,config3,conv_2d_cl_array_ap_fixed_1u_array_ap_fixed_30_13_5_3_0_8u_config3_s,270401,878801,270401,878801,1.081604,3.515204,1.081604,3.515204,8,40,3442,2633,0.20196674030436917,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource4_hls_c73fa830e212/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource4_RFResource4_fold0_hls_c73fa830_prj/solution1/syn/report/conv_2d_cl_array_ap_fixed_1u_array_ap_fixed_30_13_5_3_0_8u_config3_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource4_hls_c73fa830e212
256,Resource RF4,Resource,4,conv1,1,Resource,4,config8,conv_2d_cl_array_ap_ufixed_8u_array_ap_fixed_24_11_5_3_0_16u_config8_s,17425,56629,17425,56629,0.0697,0.226516,0.0697,0.226516,8,160,10213,12884,0.9882793323514973,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource4_hls_c73fa830e212/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource4_RFResource4_fold0_hls_c73fa830_prj/solution1/syn/report/conv_2d_cl_array_ap_ufixed_8u_array_ap_fixed_24_11_5_3_0_16u_config8_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource4_hls_c73fa830e212
256,Resource RF4,Resource,4,conv2,2,Resource,4,config13,conv_2d_cl_array_array_ap_fixed_25_12_5_3_0_24u_config13_s,4625,15029,4625,15029,0.0185,0.060116,0.0185,0.060116,8,480,25626,33360,2.5589101620029453,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource4_hls_c73fa830e212/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource4_RFResource4_fold0_hls_c73fa830_prj/solution1/syn/report/conv_2d_cl_array_array_ap_fixed_25_12_5_3_0_24u_config13_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource4_hls_c73fa830e212
256,Resource RF4,Resource,4,conv3,3,Resource,4,config18,conv_2d_cl_array_array_ap_fixed_25_13_5_3_0_24u_config18_s,1297,4213,1297,4213,0.005188,0.016852,0.005188,0.016852,8,768,35774,46060,3.5330756013745703,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource4_hls_c73fa830e212/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource4_RFResource4_fold0_hls_c73fa830_prj/solution1/syn/report/conv_2d_cl_array_array_ap_fixed_25_13_5_3_0_24u_config18_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource4_hls_c73fa830e212
256,Resource RF4,Resource,4,conv4,4,Resource,4,config23,conv_2d_cl_array_array_ap_fixed_25_14_5_3_0_32u_config23_s,401,1301,401,1301,0.001604,0.005204,0.001604,0.005204,8,1024,44670,57896,4.440967108492882,0,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource4_hls_c73fa830e212/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource4_RFResource4_fold0_hls_c73fa830_prj/solution1/syn/report/conv_2d_cl_array_array_ap_fixed_25_14_5_3_0_32u_config23_s_csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource4_hls_c73fa830e212
