input_size,sweep_label,strategy_label,sweep_reuse_factor,module_group,layer,config_name,module_name,latency_cycles,latency_ms,lut,lut_percent_xcu55c,report_path,sweep_root
256,Latency RF1,Latency,1,Padding,pad_conv3,config17,zeropad2d_cl_array_array_ap_ufixed_8_3_4_0_0_24u_config17_s,335,0.00134,487,0.037355792832596955,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Padding,pad_conv4,config22,zeropad2d_cl_array_array_ap_ufixed_8_4_4_0_0_24u_config22_s,111,0.000444,438,0.03359720176730486,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Padding,pad_conv5,config27,zeropad2d_cl_array_array_ap_ufixed_8_5_4_0_0_32u_config27_s,47,0.000188,398,0.03052896416298478,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Padding,pad_conv6,config32,zeropad2d_cl_array_array_ap_ufixed_8_5_4_0_0_32u_config32_s,27,0.000108,378,0.028994845360824743,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Activation,act0,relu_config5,relu_array_ap_fixed_8u_array_ap_ufixed_8_2_4_0_0_8u_relu_config5_s,16386,0.065544,1197,0.09181701030927836,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Activation,act1,relu_config10,relu_array_ap_fixed_16u_array_ap_ufixed_8_2_4_0_0_16u_relu_config10_s,4098,0.016392,2081,0.15962506136475207,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Activation,act2,relu_config15,relu_array_ap_fixed_24u_array_ap_ufixed_8_3_4_0_0_24u_relu_config15_s,1026,0.004104,3109,0.23847876779577812,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Activation,act3,relu_config20,relu_array_ap_fixed_24u_array_ap_ufixed_8_4_4_0_0_24u_relu_config20_s,258,0.001032,3105,0.23817194403534608,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Activation,act4,relu_config25,relu_array_ap_fixed_32u_array_ap_ufixed_8_5_4_0_0_32u_relu_config25_s,66,0.000264,4101,0.31457106038291605,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Activation,act5,relu_config30,relu_array_ap_fixed_32u_array_ap_ufixed_8_5_4_0_0_32u_relu_config30_s,18,7.2e-05,4163,0.31932682866961215,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Activation,act6,relu_config35,relu_array_ap_fixed_32u_array_ap_ufixed_8_5_4_0_0_32u_relu_config35_s,6,2.4e-05,4157,0.31886659302896414,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Pooling,pool0,config6,pooling2d_cl_array_ap_ufixed_8u_array_ap_ufixed_8_2_4_0_0_8u_config6_s,32770,0.13108,1693,0.12986315660284733,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Pooling,pool1,config11,pooling2d_cl_array_array_ap_ufixed_8_2_4_0_0_16u_config11_s,8194,0.032776,2689,0.20626227295041727,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Pooling,pool2,config16,pooling2d_cl_array_array_ap_ufixed_8_3_4_0_0_24u_config16_s,2050,0.0082,3685,0.28266138929798723,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Pooling,pool3,config21,pooling2d_cl_array_array_ap_ufixed_8_4_4_0_0_24u_config21_s,514,0.002056,3681,0.2823545655375552,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Pooling,pool4,config26,pooling2d_cl_array_array_ap_ufixed_8_5_4_0_0_32u_config26_s,130,0.00052,4677,0.3587536818851252,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Pooling,pool5,config31,pooling2d_cl_array_array_ap_ufixed_8_5_4_0_0_32u_config31_s,34,0.000136,4675,0.3586002700049092,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Pooling,pool6,config36,pooling2d_cl_array_array_ap_ufixed_8_5_4_0_0_32u_config36_s,10,4e-05,4669,0.3581400343642612,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,GlobalPool,gap,config37,pooling2d_cl_array_array_ap_ufixed_8_5_4_0_0_32u_config37_s,1,4e-06,52,0.003988708885616102,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,Dense,output_dense,config39,dense_array_ap_ufixed_32u_array_ap_fixed_22_12_5_3_0_1u_config39_s,4,1.6e-05,1653,0.12679491899852724,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Latency RF1,Latency,1,TopOverhead,top_overhead,,top_level_residual,0,0.0,12677,0.9724012027491409,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFbase_RF1_fold0_hls_ec24b5cc_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_74abd8967440/hls_sweeps/RF1_hls_ec24b5cc81fe
256,Resource RF1,Resource,1,Conv,conv0,config3,conv_2d_cl_array_ap_fixed_1u_array_ap_fixed_30_13_5_3_0_8u_config3_s,405603,1.622412,3849,0.29524116347569956,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource1_hls_db0d83b80b6e/fold_0/project/cnn_small_hls_opt_img256_res256_layers7_W8A8_P50_RFResource1_RFResource1_fold0_hls_db0d83b8_prj/solution1/syn/report/csynth.rpt,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_selected_feasible_candidates/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_resource_strategy_from_74abd8967440/hls_sweeps/RFResource1_hls_db0d83b80b6e
