sample_index,full_sum_raw,full_sum,lane_weighted_raw,lane_weighted,lane_00_raw,lane_00_sum,lane_01_raw,lane_01_sum,lane_02_raw,lane_02_sum,lane_03_raw,lane_03_sum,lane_04_raw,lane_04_sum,lane_05_raw,lane_05_sum,lane_06_raw,lane_06_sum,lane_07_raw,lane_07_sum,lane_08_raw,lane_08_sum,lane_09_raw,lane_09_sum,lane_10_raw,lane_10_sum,lane_11_raw,lane_11_sum,lane_12_raw,lane_12_sum,lane_13_raw,lane_13_sum,lane_14_raw,lane_14_sum,lane_15_raw,lane_15_sum,lane_16_raw,lane_16_sum,lane_17_raw,lane_17_sum,lane_18_raw,lane_18_sum,lane_19_raw,lane_19_sum,lane_20_raw,lane_20_sum,lane_21_raw,lane_21_sum,lane_22_raw,lane_22_sum,lane_23_raw,lane_23_sum,lane_24_raw,lane_24_sum,lane_25_raw,lane_25_sum,lane_26_raw,lane_26_sum,lane_27_raw,lane_27_sum,lane_28_raw,lane_28_sum,lane_29_raw,lane_29_sum,lane_30_raw,lane_30_sum,lane_31_raw,lane_31_sum,latency_us
10,61841,60.3916015625,6280,6.1328125,6998,6.833984375,2018,1.970703125,18196,17.76953125,25266,24.673828125,33604,32.81640625,14477,14.1376953125,29702,29.005859375,19303,18.8505859375,18198,17.771484375,12313,12.0244140625,33823,33.0302734375,824,0.8046875,12626,12.330078125,41730,40.751953125,26762,26.134765625,22285,21.7626953125,16698,16.306640625,14771,14.4248046875,22276,21.75390625,413,0.4033203125,12954,12.650390625,14261,13.9267578125,20177,19.7041015625,53640,52.3828125,18659,18.2216796875,29345,28.6572265625,27981,27.3251953125,17115,16.7138671875,57421,56.0751953125,45553,44.4853515625,58945,57.5634765625,54403,53.1279296875,2134.005
11,60757,59.3330078125,38342,37.443359375,41158,40.193359375,55056,53.765625,49390,48.232421875,62644,61.17578125,20636,20.15234375,12859,12.5576171875,39667,38.7373046875,34969,34.1494140625,53549,52.2939453125,27261,26.6220703125,33781,32.9892578125,25053,24.4658203125,17987,17.5654296875,4886,4.771484375,16531,16.1435546875,28679,28.0068359375,28734,28.060546875,23296,22.75,60745,59.3212890625,24000,23.4375,21703,21.1943359375,5296,5.171875,48290,47.158203125,19253,18.8017578125,25553,24.9541015625,35049,34.2275390625,31168,30.4375,33803,33.0107421875,52327,51.1005859375,40074,39.134765625,36727,35.8662109375,33673,32.8837890625,2133.074
12,33630,32.841796875,25312,24.71875,292,0.28515625,26420,25.80078125,21287,20.7880859375,9270,9.052734375,7090,6.923828125,50967,49.7724609375,36704,35.84375,61424,59.984375,54315,53.0419921875,5038,4.919921875,2356,2.30078125,45706,44.634765625,50231,49.0537109375,53817,52.5556640625,49875,48.7060546875,52955,51.7138671875,9759,9.5302734375,62577,61.1103515625,55441,54.1416015625,48501,47.3642578125,43701,42.6767578125,65330,63.798828125,33559,32.7724609375,26359,25.7412109375,53372,52.12109375,25301,24.7080078125,16305,15.9228515625,53292,52.04296875,2182,2.130859375,57828,56.47265625,8571,8.3701171875,57917,56.5595703125,2131.981
13,50717,49.5283203125,9737,9.5087890625,139,0.1357421875,53185,51.9384765625,40284,39.33984375,57529,56.1806640625,44843,43.7919921875,30981,30.2548828125,50503,49.3193359375,45490,44.423828125,56468,55.14453125,33691,32.9013671875,64618,63.103515625,44624,43.578125,63257,61.7744140625,47281,46.1728515625,61879,60.4287109375,55888,54.578125,64463,62.9521484375,44293,43.2548828125,34762,33.947265625,47865,46.7431640625,47048,45.9453125,42088,41.1015625,38598,37.693359375,53942,52.677734375,48667,47.5263671875,10257,10.0166015625,44232,43.1953125,25929,25.3212890625,46644,45.55078125,7343,7.1708984375,6658,6.501953125,47988,46.86328125,2132.662
14,52186,50.962890625,27856,27.203125,61581,60.1376953125,1243,1.2138671875,46473,45.3837890625,1824,1.78125,64477,62.9658203125,53622,52.365234375,44584,43.5390625,19395,18.9404296875,15066,14.712890625,44232,43.1953125,27252,26.61328125,40695,39.7412109375,21544,21.0390625,53927,52.6630859375,22335,21.8115234375,14749,14.4033203125,40833,39.8759765625,31613,30.8720703125,17769,17.3525390625,62690,61.220703125,39533,38.6064453125,14816,14.46875,61992,60.5390625,30738,30.017578125,43767,42.7412109375,7170,7.001953125,55321,54.0244140625,40855,39.8974609375,38823,37.9130859375,22091,21.5732421875,37118,36.248046875,22634,22.103515625,2132.732
15,15087,14.7333984375,62613,61.1455078125,13679,13.3583984375,9314,9.095703125,47939,46.8154296875,8395,8.1982421875,49146,47.994140625,12755,12.4560546875,63486,61.998046875,649,0.6337890625,5704,5.5703125,1553,1.5166015625,53342,52.091796875,4327,4.2255859375,10972,10.71484375,60968,59.5390625,64183,62.6787109375,21466,20.962890625,27501,26.8564453125,38498,37.595703125,38971,38.0576171875,7872,7.6875,56092,54.77734375,1830,1.787109375,53981,52.7158203125,18322,17.892578125,63588,62.09765625,38242,37.345703125,17140,16.73828125,2911,2.8427734375,13500,13.18359375,58855,57.4755859375,8825,8.6181640625,58585,57.2119140625,2165.214
16,20837,20.3486328125,23068,22.52734375,4507,4.4013671875,58062,56.701171875,3203,3.1279296875,9039,8.8271484375,4446,4.341796875,25276,24.68359375,25925,25.3173828125,839,0.8193359375,26371,25.7529296875,3718,3.630859375,15329,14.9697265625,57240,55.8984375,62796,61.32421875,12739,12.4404296875,56835,55.5029296875,60386,58.970703125,9094,8.880859375,59872,58.46875,56222,54.904296875,44554,43.509765625,2926,2.857421875,44293,43.2548828125,27141,26.5048828125,3007,2.9365234375,56715,55.3857421875,9416,9.1953125,36599,35.7412109375,8407,8.2099609375,7202,7.033203125,11375,11.1083984375,18005,17.5830078125,51266,50.064453125,2132.392
17,58814,57.435546875,39455,38.5302734375,35016,34.1953125,64424,62.9140625,6589,6.4345703125,15139,14.7841796875,34278,33.474609375,5443,5.3154296875,28840,28.1640625,23242,22.697265625,42054,41.068359375,40475,39.5263671875,31298,30.564453125,34398,33.591796875,39518,38.591796875,59801,58.3994140625,16761,16.3681640625,40243,39.2998046875,21375,20.8740234375,32857,32.0869140625,7665,7.4853515625,65175,63.6474609375,21400,20.8984375,65008,63.484375,15702,15.333984375,24963,24.3779296875,354,0.345703125,16182,15.802734375,5907,5.7685546875,13094,12.787109375,14305,13.9697265625,8847,8.6396484375,11889,11.6103515625,3004,2.93359375,2132.352
18,14835,14.4873046875,16308,15.92578125,48027,46.9013671875,29598,28.904296875,17071,16.6708984375,4115,4.0185546875,56063,54.7490234375,54202,52.931640625,43021,42.0126953125,51976,50.7578125,45569,44.5009765625,4440,4.3359375,46682,45.587890625,48378,47.244140625,35567,34.7333984375,30780,30.05859375,63212,61.73046875,64172,62.66796875,42617,41.6181640625,16823,16.4287109375,40957,39.9970703125,12547,12.2529296875,43177,42.1650390625,28502,27.833984375,60424,59.0078125,28877,28.2001953125,55540,54.23828125,637,0.6220703125,49731,48.5654296875,30995,30.2685546875,43086,42.076171875,51743,50.5302734375,60154,58.744140625,51336,50.1328125,2171.085
19,2128,2.078125,55088,53.796875,17876,17.45703125,38730,37.822265625,12009,11.7275390625,42371,41.3779296875,22083,21.5654296875,28575,27.9052734375,18907,18.4638671875,39494,38.568359375,29179,28.4951171875,12872,12.5703125,41621,40.6455078125,1428,1.39453125,53292,52.04296875,39007,38.0927734375,40153,39.2119140625,25461,24.8642578125,5882,5.744140625,44855,43.8037109375,18341,17.9111328125,64650,63.134765625,18535,18.1005859375,19495,19.0380859375,19114,18.666015625,57419,56.0732421875,19035,18.5888671875,27051,26.4169921875,11716,11.44140625,38666,37.759765625,8655,8.4521484375,18444,18.01171875,33438,32.654296875,51278,50.076171875,2136.55
20,59928,58.5234375,58746,57.369140625,19149,18.7001953125,26418,25.798828125,378,0.369140625,42335,41.3427734375,38202,37.306640625,11098,10.837890625,25332,24.73828125,13986,13.658203125,18509,18.0751953125,5528,5.3984375,55758,54.451171875,10171,9.9326171875,8668,8.46484375,33037,32.2626953125,20916,20.42578125,10450,10.205078125,26798,26.169921875,26790,26.162109375,61247,59.8115234375,63599,62.1083984375,3379,3.2998046875,22263,21.7412109375,31054,30.326171875,990,0.966796875,64788,63.26953125,48202,47.072265625,10121,9.8837890625,34994,34.173828125,20132,19.66015625,22428,21.90234375,19577,19.1181640625,50063,48.8896484375,2138.203
21,808,0.7890625,49084,47.93359375,46490,45.400390625,47068,45.96484375,32128,31.375,48138,47.009765625,18594,18.158203125,62780,61.30859375,30700,29.98046875,45979,44.9013671875,60416,59,58333,56.9658203125,32743,31.9755859375,28007,27.3505859375,32934,32.162109375,30458,29.744140625,41472,40.5,13625,13.3056640625,25080,24.4921875,37390,36.513671875,12201,11.9150390625,57670,56.318359375,35352,34.5234375,43886,42.857421875,48887,47.7412109375,53828,52.56640625,36654,35.794921875,44774,43.724609375,49893,48.7236328125,57140,55.80078125,56659,55.3310546875,35133,34.3095703125,51803,50.5888671875,35313,34.4853515625,2136.851
22,60086,58.677734375,6830,6.669921875,12087,11.8037109375,23341,22.7939453125,22429,21.9033203125,34015,33.2177734375,27176,26.5390625,12019,11.7373046875,15141,14.7861328125,21894,21.380859375,34973,34.1533203125,2117,2.0673828125,24551,23.9755859375,22840,22.3046875,64506,62.994140625,14430,14.091796875,13051,12.7451171875,56381,55.0595703125,2729,2.6650390625,63140,61.66015625,14493,14.1533203125,11902,11.623046875,53571,52.3154296875,11089,10.8291015625,5799,5.6630859375,3043,2.9716796875,24143,23.5771484375,19495,19.0380859375,26036,25.42578125,60541,59.1220703125,16994,16.595703125,2914,2.845703125,3243,3.1669921875,60899,59.4716796875,2132.552
23,37872,36.984375,23589,23.0361328125,40814,39.857421875,59652,58.25390625,31274,30.541015625,12269,11.9814453125,25328,24.734375,19496,19.0390625,24332,23.76171875,6966,6.802734375,4611,4.5029296875,53430,52.177734375,39563,38.6357421875,6184,6.0390625,3606,3.521484375,12992,12.6875,20383,19.9052734375,57439,56.0927734375,606,0.591796875,31415,30.6787109375,39594,38.666015625,37985,37.0947265625,27282,26.642578125,10628,10.37890625,5410,5.283203125,37117,36.2470703125,35994,35.150390625,27681,27.0322265625,21288,20.7890625,541,0.5283203125,57010,55.673828125,947,0.9248046875,38344,37.4453125,34123,33.3232421875,2133.624
24,33207,32.4287109375,61639,60.1943359375,16332,15.94921875,31953,31.2041015625,55154,53.861328125,3036,2.96484375,24456,23.8828125,38026,37.134765625,56009,54.6962890625,59880,58.4765625,46747,45.6513671875,60269,58.8564453125,8734,8.529296875,59343,57.9521484375,25086,24.498046875,5426,5.298828125,19995,19.5263671875,2370,2.314453125,20919,20.4287109375,9305,9.0869140625,63162,61.681640625,18992,18.546875,51591,50.3818359375,31898,31.150390625,60044,58.63671875,20402,19.923828125,19075,18.6279296875,4865,4.7509765625,1343,1.3115234375,4679,4.5693359375,13937,13.6103515625,29812,29.11328125,14647,14.3037109375,7688,7.5078125,2137.291
25,37004,36.13671875,27343,26.7021484375,30332,29.62109375,14304,13.96875,14086,13.755859375,60432,59.015625,42388,41.39453125,16894,16.498046875,59513,58.1181640625,27841,27.1884765625,21048,20.5546875,20803,20.3154296875,31510,30.771484375,49635,48.4716796875,32424,31.6640625,29108,28.42578125,56976,55.640625,19090,18.642578125,13565,13.2470703125,20131,19.6591796875,18080,17.65625,23494,22.943359375,31963,31.2138671875,21387,20.8857421875,17425,17.0166015625,62003,60.5498046875,10290,10.048828125,15712,15.34375,24931,24.3466796875,64958,63.435546875,36266,35.416015625,17269,16.8642578125,46832,45.734375,3818,3.728515625,2150.185
26,55543,54.2412109375,32216,31.4609375,15657,15.2900390625,23622,23.068359375,19991,19.5224609375,9839,9.6083984375,11579,11.3076171875,20167,19.6943359375,59757,58.3564453125,60970,59.541015625,2309,2.2548828125,50479,49.2958984375,13448,13.1328125,4100,4.00390625,64383,62.8740234375,3222,3.146484375,16386,16.001953125,61796,60.34765625,35174,34.349609375,7496,7.3203125,26894,26.263671875,59997,58.5908203125,56064,54.75,8669,8.4658203125,50851,49.6591796875,25404,24.80859375,25606,25.005859375,6728,6.5703125,6716,6.55859375,11856,11.578125,25063,24.4755859375,8174,7.982421875,31930,31.181640625,17648,17.234375,2166.857
27,59873,58.4697265625,34913,34.0947265625,44114,43.080078125,45468,44.40234375,13446,13.130859375,61278,59.841796875,45302,44.240234375,18456,18.0234375,61603,60.1591796875,11638,11.365234375,38927,38.0146484375,9918,9.685546875,18706,18.267578125,10968,10.7109375,27367,26.7255859375,34599,33.7880859375,43155,42.1435546875,55529,54.2275390625,13705,13.3837890625,17200,16.796875,16752,16.359375,13148,12.83984375,40261,39.3173828125,30676,29.95703125,3218,3.142578125,13658,13.337890625,62855,61.3818359375,26726,26.099609375,13773,13.4501953125,9717,9.4892578125,15854,15.482421875,39879,38.9443359375,51551,50.3427734375,2394,2.337890625,2152.079
28,38552,37.6484375,22221,21.7001953125,6563,6.4091796875,59800,58.3984375,47033,45.9306640625,51544,50.3359375,63975,62.4755859375,29620,28.92578125,63885,62.3876953125,45383,44.3193359375,20998,20.505859375,22363,21.8388671875,26006,25.396484375,20031,19.5615234375,4718,4.607421875,31008,30.28125,6416,6.265625,55559,54.2568359375,54854,53.568359375,10490,10.244140625,6218,6.072265625,5120,5,2315,2.2607421875,59661,58.2626953125,58224,56.859375,52261,51.0361328125,61105,59.6728515625,5925,5.7861328125,59373,57.9814453125,6014,5.873046875,59807,58.4052734375,29442,28.751953125,13237,12.9267578125,48180,47.05078125,2136.66
29,44807,43.7568359375,5330,5.205078125,60457,59.0400390625,40467,39.5185546875,35528,34.6953125,49946,48.775390625,45545,44.4775390625,44033,43.0009765625,59286,57.896484375,51694,50.482421875,48162,47.033203125,50948,49.75390625,41988,41.00390625,49149,47.9970703125,20680,20.1953125,64055,62.5537109375,41878,40.896484375,3744,3.65625,39069,38.1533203125,39925,38.9892578125,43921,42.8916015625,32310,31.552734375,5803,5.6669921875,23212,22.66796875,44847,43.7958984375,37497,36.6181640625,46788,45.69140625,6024,5.8828125,47799,46.6787109375,37752,36.8671875,37384,36.5078125,63334,61.849609375,33711,32.9208984375,43055,42.0458984375,2166.586
30,20666,20.181640625,29930,29.228515625,29668,28.97265625,17552,17.140625,22829,22.2939453125,28954,28.275390625,59939,58.5341796875,15587,15.2216796875,9371,9.1513671875,50489,49.3056640625,48210,47.080078125,6863,6.7021484375,349,0.3408203125,2484,2.42578125,50417,49.2353515625,2492,2.43359375,4037,3.9423828125,28274,27.611328125,3526,3.443359375,7789,7.6064453125,33709,32.9189453125,41599,40.6240234375,43448,42.4296875,42374,41.380859375,63225,61.7431640625,13315,13.0029296875,54772,53.48828125,64098,62.595703125,51826,50.611328125,17117,16.7158203125,6526,6.373046875,63583,62.0927734375,606,0.591796875,53142,51.896484375,2137.001
31,8171,7.9794921875,1397,1.3642578125,7873,7.6884765625,35005,34.1845703125,5021,4.9033203125,61822,60.373046875,39148,38.23046875,54731,53.4482421875,45735,44.6630859375,5466,5.337890625,31397,30.6611328125,60855,59.4287109375,9693,9.4658203125,28391,27.7255859375,7582,7.404296875,41956,40.97265625,3306,3.228515625,10093,9.8564453125,40849,39.8916015625,7644,7.46484375,65296,63.765625,37428,36.55078125,57841,56.4853515625,48378,47.244140625,57458,56.111328125,603,0.5888671875,60102,58.693359375,61749,60.3017578125,53931,52.6669921875,61371,59.9326171875,42356,41.36328125,3328,3.25,14263,13.9287109375,61612,60.16796875,2177.988
32,17259,16.8544921875,59114,57.728515625,476,0.46484375,28324,27.66015625,60982,59.552734375,9626,9.400390625,18220,17.79296875,19424,18.96875,49221,48.0673828125,3721,3.6337890625,16518,16.130859375,58256,56.890625,4252,4.15234375,2982,2.912109375,36533,35.6767578125,18922,18.478515625,31181,30.4501953125,62491,61.0263671875,52652,51.41796875,64827,63.3076171875,65422,63.888671875,60136,58.7265625,43905,42.8759765625,3123,3.0498046875,9595,9.3701171875,5193,5.0712890625,10887,10.6318359375,13050,12.744140625,60709,59.2861328125,16189,15.8095703125,28267,27.6044921875,23803,23.2451171875,29012,28.33203125,26864,26.234375,2136.54
33,29092,28.41015625,26752,26.125,3716,3.62890625,53261,52.0126953125,50011,48.8388671875,43757,42.7314453125,48659,47.5185546875,2675,2.6123046875,48835,47.6904296875,52746,51.509765625,3490,3.408203125,28437,27.7705078125,54472,53.1953125,48356,47.22265625,56614,55.287109375,5989,5.8486328125,58061,56.7001953125,37766,36.880859375,12632,12.3359375,8427,8.2294921875,64360,62.8515625,54483,53.2060546875,334,0.326171875,30155,29.4482421875,8281,8.0869140625,49832,48.6640625,45549,44.4814453125,35070,34.248046875,58803,57.4248046875,33061,32.2861328125,49702,48.537109375,53633,52.3759765625,42831,41.8271484375,64742,63.224609375,2129.095
34,56162,54.845703125,53361,52.1103515625,21755,21.2451171875,37410,36.533203125,3536,3.453125,18334,17.904296875,2332,2.27734375,5532,5.40234375,33507,32.7216796875,39893,38.9580078125,36181,35.3330078125,9167,8.9521484375,25672,25.0703125,1740,1.69921875,50752,49.5625,35110,34.287109375,16747,16.3544921875,2537,2.4775390625,25725,25.1220703125,30035,29.3310546875,24889,24.3056640625,2898,2.830078125,18317,17.8876953125,34838,34.021484375,27492,26.84765625,22894,22.357421875,43202,42.189453125,51024,49.828125,17748,17.33203125,44796,43.74609375,51036,49.83984375,55834,54.525390625,16328,15.9453125,35333,34.5048828125,2132.372
35,55936,54.625,38952,38.0390625,45035,43.9794921875,8463,8.2646484375,12975,12.6708984375,60467,59.0498046875,62950,61.474609375,61541,60.0986328125,56469,55.1455078125,9383,9.1630859375,58512,57.140625,55589,54.2861328125,16153,15.7744140625,3723,3.6357421875,3838,3.748046875,4418,4.314453125,21223,20.7255859375,63018,61.541015625,18765,18.3251953125,52280,51.0546875,50259,49.0810546875,17338,16.931640625,1000,0.9765625,11677,11.4033203125,31539,30.7998046875,10794,10.541015625,56523,55.1982421875,3240,3.1640625,35538,34.705078125,48420,47.28515625,63578,62.087890625,31850,31.103515625,54085,52.8173828125,8333,8.1376953125,2131.691
36,11457,11.1884765625,10744,10.4921875,22504,21.9765625,29888,29.1875,3257,3.1806640625,22769,22.2353515625,33676,32.88671875,51474,50.267578125,57373,56.0283203125,46227,45.1435546875,28264,27.6015625,55375,54.0771484375,29775,29.0771484375,14470,14.130859375,10852,10.59765625,41086,40.123046875,2059,2.0107421875,32452,31.69140625,43263,42.2490234375,2616,2.5546875,48863,47.7177734375,26676,26.05078125,28300,27.63671875,64314,62.806640625,64228,62.72265625,57575,56.2255859375,19536,19.078125,44749,43.7001953125,54066,52.798828125,58525,57.1533203125,20649,20.1650390625,7902,7.716796875,62535,61.0693359375,40271,39.3271484375,2164.532
37,18023,17.6005859375,18926,18.482421875,40556,39.60546875,8815,8.6083984375,5309,5.1845703125,46858,45.759765625,7264,7.09375,36370,35.517578125,3726,3.638671875,15870,15.498046875,56939,55.6044921875,51188,49.98828125,42340,41.34765625,62187,60.7294921875,30362,29.650390625,49514,48.353515625,11837,11.5595703125,1259,1.2294921875,38580,37.67578125,62641,61.1728515625,7402,7.228515625,3750,3.662109375,52255,51.0302734375,42811,41.8076171875,7576,7.3984375,28797,28.1220703125,64176,62.671875,7086,6.919921875,3996,3.90234375,13964,13.63671875,39141,38.2236328125,60415,58.9990234375,16737,16.3447265625,15806,15.435546875,2164.703
38,57356,56.01171875,4161,4.0634765625,51226,50.025390625,42098,41.111328125,48829,47.6845703125,55022,53.732421875,57466,56.119140625,73,0.0712890625,50331,49.1513671875,186,0.181640625,7848,7.6640625,59876,58.47265625,53378,52.126953125,48450,47.314453125,7726,7.544921875,54609,53.3291015625,49431,48.2724609375,62718,61.248046875,1328,1.296875,41933,40.9501953125,14239,13.9052734375,27776,27.125,42374,41.380859375,54061,52.7939453125,43542,42.521484375,5586,5.455078125,50573,49.3876953125,65111,63.5849609375,42232,41.2421875,53188,51.94140625,52404,51.17578125,39196,38.27734375,40280,39.3359375,13914,13.587890625,2132.472
